test_id,node,test_category,test_description,test,result,failure_reason
37,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.1,PASS,
38,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.2,PASS,
39,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.3,PASS,
40,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.4,PASS,
41,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.5,PASS,
42,s1-leaf1,Routing Table,Remote Lo0 address,192.0.255.6,PASS,
43,s1-leaf1,Routing Table,Remote VTEP address,192.0.254.3,PASS,
44,s1-leaf1,Routing Table,Remote VTEP address,192.0.254.5,PASS,
45,s1-leaf2,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
46,s1-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s1-leaf1_Ethernet1,PASS,
47,s1-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s1-leaf1_Ethernet6,PASS,
48,s1-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-SPINE1_Ethernet3,PASS,
49,s1-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-SPINE2_Ethernet3,PASS,
50,s1-leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s1-host1_Ethernet2,PASS,
51,s1-leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s1-leaf1_Po1,PASS,
52,s1-leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s1-host1_PortChannel,FAIL,The following interface(s) are not in the expected state: ['Port-Channel4 is lowerLayerDown/down expected up/up']
53,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
54,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
55,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "adminDown",Vlan110 - Tenant_A_OP_Zone_1,PASS,
56,s1-leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,PASS,
57,s1-leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
58,s1-leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
59,s1-leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,PASS,
60,s1-leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
61,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf1_Ethernet1,PASS,
62,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf1_Ethernet6,PASS,
63,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet3,PASS,
64,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet3,PASS,
65,s1-leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-host1_Ethernet2,PASS,
66,s1-leaf2,IP Reachability,ip reachability test p2p links,Source: s1-leaf2_Ethernet2 - Destination: s1-spine1_Ethernet3,PASS,
67,s1-leaf2,IP Reachability,ip reachability test p2p links,Source: s1-leaf2_Ethernet3 - Destination: s1-spine2_Ethernet3,PASS,
68,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.1,PASS,
69,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.2,PASS,
70,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.3,PASS,
71,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.4,PASS,
72,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.5,PASS,
73,s1-leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf2 - 192.0.255.4/32 Destination: 192.0.255.6,PASS,
74,s1-leaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
75,s1-leaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
76,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,PASS,
77,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.4,PASS,
78,s1-leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.6,PASS,
79,s1-leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,PASS,
80,s1-leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,PASS,
81,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.1,PASS,
82,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.2,PASS,
83,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.3,PASS,
84,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.4,PASS,
85,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.5,PASS,
86,s1-leaf2,Routing Table,Remote Lo0 address,192.0.255.6,PASS,
87,s1-leaf2,Routing Table,Remote VTEP address,192.0.254.3,PASS,
88,s1-leaf2,Routing Table,Remote VTEP address,192.0.254.5,PASS,
89,s1-leaf3,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
90,s1-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s1-leaf4_Ethernet1,PASS,
91,s1-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s1-leaf4_Ethernet6,PASS,
92,s1-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-SPINE1_Ethernet4,PASS,
93,s1-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-SPINE2_Ethernet4,PASS,
94,s1-leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s1-host2_Ethernet1,PASS,
95,s1-leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s1-leaf4_Po1,PASS,
96,s1-leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s1-host2_PortChannel,FAIL,The following interface(s) are not in the expected state: ['Port-Channel4 is lowerLayerDown/down expected up/up']
97,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
98,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
99,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "adminDown",Vlan110 - Tenant_A_OP_Zone_1,PASS,
100,s1-leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,PASS,
101,s1-leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
102,s1-leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
103,s1-leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,PASS,
104,s1-leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
105,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf4_Ethernet1,PASS,
106,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf4_Ethernet6,PASS,
107,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet4,PASS,
108,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet4,PASS,
109,s1-leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-host2_Ethernet1,PASS,
110,s1-leaf3,IP Reachability,ip reachability test p2p links,Source: s1-leaf3_Ethernet2 - Destination: s1-spine1_Ethernet4,PASS,
111,s1-leaf3,IP Reachability,ip reachability test p2p links,Source: s1-leaf3_Ethernet3 - Destination: s1-spine2_Ethernet4,PASS,
112,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.1,PASS,
113,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.2,PASS,
114,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.3,PASS,
115,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.4,PASS,
116,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.5,PASS,
117,s1-leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf3 - 192.0.255.5/32 Destination: 192.0.255.6,PASS,
118,s1-leaf3,MLAG,MLAG State active & Status connected,MLAG,PASS,
119,s1-leaf3,BGP,ArBGP is configured and operating,ArBGP,PASS,
120,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,PASS,
121,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.8,PASS,
122,s1-leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.10,PASS,
123,s1-leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,PASS,
124,s1-leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,PASS,
125,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.1,PASS,
126,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.2,PASS,
127,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.3,PASS,
128,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.4,PASS,
129,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.5,PASS,
130,s1-leaf3,Routing Table,Remote Lo0 address,192.0.255.6,PASS,
131,s1-leaf3,Routing Table,Remote VTEP address,192.0.254.3,PASS,
132,s1-leaf3,Routing Table,Remote VTEP address,192.0.254.5,PASS,
133,s1-leaf4,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
134,s1-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_s1-leaf3_Ethernet1,PASS,
135,s1-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - MLAG_PEER_s1-leaf3_Ethernet6,PASS,
136,s1-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-SPINE1_Ethernet5,PASS,
137,s1-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-SPINE2_Ethernet5,PASS,
138,s1-leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - s1-host2_Ethernet2,PASS,
139,s1-leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_s1-leaf3_Po1,PASS,
140,s1-leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel4 - s1-host2_PortChannel,FAIL,The following interface(s) are not in the expected state: ['Port-Channel4 is lowerLayerDown/down expected up/up']
141,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
142,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
143,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "adminDown",Vlan110 - Tenant_A_OP_Zone_1,PASS,
144,s1-leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf Tenant_A_OP_Zone,PASS,
145,s1-leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
146,s1-leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
147,s1-leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback100 - Tenant_A_OP_Zone_VTEP_DIAGNOSTICS,PASS,
148,s1-leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
149,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: s1-leaf3_Ethernet1,PASS,
150,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: s1-leaf3_Ethernet6,PASS,
151,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-spine1_Ethernet5,PASS,
152,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-spine2_Ethernet5,PASS,
153,s1-leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-host2_Ethernet2,PASS,
154,s1-leaf4,IP Reachability,ip reachability test p2p links,Source: s1-leaf4_Ethernet2 - Destination: s1-spine1_Ethernet5,PASS,
155,s1-leaf4,IP Reachability,ip reachability test p2p links,Source: s1-leaf4_Ethernet3 - Destination: s1-spine2_Ethernet5,PASS,
156,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.1,PASS,
157,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.2,PASS,
158,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.3,PASS,
159,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.4,PASS,
160,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.5,PASS,
161,s1-leaf4,Loopback0 Reachability,Loopback0 Reachability,Source: s1-leaf4 - 192.0.255.6/32 Destination: 192.0.255.6,PASS,
162,s1-leaf4,MLAG,MLAG State active & Status connected,MLAG,PASS,
163,s1-leaf4,BGP,ArBGP is configured and operating,ArBGP,PASS,
164,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,PASS,
165,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.12,PASS,
166,s1-leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.14,PASS,
167,s1-leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.1,PASS,
168,s1-leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.2,PASS,
169,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.1,PASS,
170,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.2,PASS,
171,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.3,PASS,
172,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.4,PASS,
173,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.5,PASS,
174,s1-leaf4,Routing Table,Remote Lo0 address,192.0.255.6,PASS,
175,s1-leaf4,Routing Table,Remote VTEP address,192.0.254.3,PASS,
176,s1-leaf4,Routing Table,Remote VTEP address,192.0.254.5,PASS,
177,s1-spine1,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
178,s1-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-LEAF1_Ethernet2,PASS,
179,s1-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-LEAF2_Ethernet2,PASS,
180,s1-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_S1-LEAF3_Ethernet2,PASS,
181,s1-spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_S1-LEAF4_Ethernet2,PASS,
182,s1-spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
183,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-leaf1_Ethernet2,PASS,
184,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-leaf2_Ethernet2,PASS,
185,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-leaf3_Ethernet2,PASS,
186,s1-spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: s1-leaf4_Ethernet2,PASS,
187,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet2 - Destination: s1-leaf1_Ethernet2,PASS,
188,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet3 - Destination: s1-leaf2_Ethernet2,PASS,
189,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet4 - Destination: s1-leaf3_Ethernet2,PASS,
190,s1-spine1,IP Reachability,ip reachability test p2p links,Source: s1-spine1_Ethernet5 - Destination: s1-leaf4_Ethernet2,PASS,
191,s1-spine1,BGP,ArBGP is configured and operating,ArBGP,PASS,
192,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.1,PASS,
193,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.5,PASS,
194,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.9,PASS,
195,s1-spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.13,PASS,
196,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.3,PASS,
197,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.4,PASS,
198,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.5,PASS,
199,s1-spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.6,PASS,
200,s1-spine2,NTP,Synchronised with NTP server,NTP,FAIL,The device is not synchronized with the configured NTP server(s): 'NTP is disabled.'
201,s1-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_S1-LEAF1_Ethernet3,PASS,
202,s1-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_S1-LEAF2_Ethernet3,PASS,
203,s1-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_S1-LEAF3_Ethernet3,PASS,
204,s1-spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_S1-LEAF4_Ethernet3,PASS,
205,s1-spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
206,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: s1-leaf1_Ethernet3,PASS,
207,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: s1-leaf2_Ethernet3,PASS,
208,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: s1-leaf3_Ethernet3,PASS,
209,s1-spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: s1-leaf4_Ethernet3,PASS,
210,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet2 - Destination: s1-leaf1_Ethernet3,PASS,
211,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet3 - Destination: s1-leaf2_Ethernet3,PASS,
212,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet4 - Destination: s1-leaf3_Ethernet3,PASS,
213,s1-spine2,IP Reachability,ip reachability test p2p links,Source: s1-spine2_Ethernet5 - Destination: s1-leaf4_Ethernet3,PASS,
214,s1-spine2,BGP,ArBGP is configured and operating,ArBGP,PASS,
215,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.3,PASS,
216,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.7,PASS,
217,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.11,PASS,
218,s1-spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 172.30.255.15,PASS,
219,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.3,PASS,
220,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.4,PASS,
221,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.5,PASS,
222,s1-spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.0.255.6,PASS,
